date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1994-04-15,West Bengal,Kolkata,Kolkata,22.569722,88.369722,oil and fats,Oil (mustard),KG,actual,Retail,INR,32.0,1.0201
1994-05-15,Delhi,Delhi,Delhi,28.666667,77.216667,cereals and tubers,Rice,KG,actual,Retail,INR,8.5,0.2709
1994-05-15,Delhi,Delhi,Delhi,28.666667,77.216667,cereals and tubers,Wheat,KG,actual,Retail,INR,5.0,0.1593
1994-05-15,Delhi,Delhi,Delhi,28.666667,77.216667,miscellaneous food,Sugar,KG,actual,Retail,INR,16.5,0.5258
1994-05-15,Delhi,Delhi,Delhi,28.666667,77.216667,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.9879
1994-05-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Rice,KG,actual,Retail,INR,6.8,0.2167
1994-05-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Wheat,KG,actual,Retail,INR,6.4,0.204
1994-05-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,miscellaneous food,Sugar,KG,actual,Retail,INR,15.5,0.4939
1994-05-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.9879
1994-05-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,cereals and tubers,Rice,KG,actual,Retail,INR,9.25,0.2948
1994-05-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,miscellaneous food,Sugar,KG,actual,Retail,INR,17.0,0.5417
1994-05-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,oil and fats,Oil (mustard),KG,actual,Retail,INR,40.0,1.2747
1994-05-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,cereals and tubers,Wheat,KG,actual,Retail,INR,4.0,0.1275
1994-05-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,miscellaneous food,Sugar,KG,actual,Retail,INR,16.0,0.5099
1994-05-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.9879
1994-05-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,cereals and tubers,Wheat,KG,actual,Retail,INR,4.0,0.1275
1994-05-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,miscellaneous food,Sugar,KG,actual,Retail,INR,16.0,0.5099
1994-05-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.9879
1994-05-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Rice,KG,actual,Retail,INR,8.0,0.2549
1994-05-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Wheat,KG,actual,Retail,INR,8.0,0.2549
1994-05-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,miscellaneous food,Sugar,KG,actual,Retail,INR,16.0,0.5099
1994-05-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,oil and fats,Oil (mustard),KG,actual,Retail,INR,38.0,1.211
1994-05-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,cereals and tubers,Rice,KG,actual,Retail,INR,9.75,0.3107
